"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 07 16:50:07 IST 2024","Sun Jul 07 16:50:08 IST 2024","672","","Sauce Lab Application: As a user, I can log into the Application with valid username and without password","","","","Then I should get error message for no password",""
"passed","Sun Jul 07 16:50:12 IST 2024","Sun Jul 07 16:50:16 IST 2024","3458","","Sauce Lab Application: As a user, I can log into the Application with valid creditials","","","","When I login with valid username and password",""
"passed","Sun Jul 07 16:50:03 IST 2024","Sun Jul 07 16:50:03 IST 2024","417","","Sauce Lab Application: As a user, I can log into the Application with valid username and without password","","","","Given I am on the login page",""
"passed","Sun Jul 07 16:50:12 IST 2024","Sun Jul 07 16:50:12 IST 2024","393","","Sauce Lab Application: As a user, I can log into the Application with valid creditials","","","","Given I am on the login page",""
"failed","Sun Jul 07 16:50:12 IST 2024","Sun Jul 07 16:50:12 IST 2024","0","","","","","","hook:",""
"passed","Sun Jul 07 16:50:08 IST 2024","Sun Jul 07 16:50:11 IST 2024","3485","","Sauce Lab Application: As a user, I can log into the Application without creditials","","","","When I login without username and password",""
"passed","Sun Jul 07 16:50:08 IST 2024","Sun Jul 07 16:50:08 IST 2024","394","","Sauce Lab Application: As a user, I can log into the Application without creditials","","","","Given I am on the login page",""
"failed","Sun Jul 07 16:50:03 IST 2024","Sun Jul 07 16:50:03 IST 2024","0","","","","","","hook:",""
"passed","Sun Jul 07 16:49:57 IST 2024","Sun Jul 07 16:49:58 IST 2024","406","","Sauce Lab Application: As a user, I can't log into the Application with locked creditials","","","","Given I am on the login page",""
"passed","Sun Jul 07 16:50:11 IST 2024","Sun Jul 07 16:50:12 IST 2024","696","","Sauce Lab Application: As a user, I can log into the Application without creditials","","","","Then I should get error message for no username",""
"passed","Sun Jul 07 16:49:53 IST 2024","Sun Jul 07 16:49:53 IST 2024","447","","Sauce Lab Application: As a user, I can't log into the Application with invalid creditials","","","","Given I am on the login page",""
"failed","Sun Jul 07 16:50:17 IST 2024","Sun Jul 07 16:50:17 IST 2024","1","","","","","","hook:",""
"passed","Sun Jul 07 16:50:16 IST 2024","Sun Jul 07 16:50:17 IST 2024","1305","","Sauce Lab Application: As a user, I can log into the Application with valid creditials","","","","Then I should redirect to products page",""
"failed","Sun Jul 07 16:49:57 IST 2024","Sun Jul 07 16:49:57 IST 2024","1","","","","","","hook:",""
"passed","Sun Jul 07 16:50:02 IST 2024","Sun Jul 07 16:50:03 IST 2024","688","","Sauce Lab Application: As a user, I can't log into the Application with locked creditials","","","","Then I should get error message for locked creditials",""
"failed","Sun Jul 07 16:50:08 IST 2024","Sun Jul 07 16:50:08 IST 2024","0","","","","","","hook:",""
"passed","Sun Jul 07 16:50:03 IST 2024","Sun Jul 07 16:50:07 IST 2024","3496","","Sauce Lab Application: As a user, I can log into the Application with valid username and without password","","","","When I login with valid username and without password",""
"passed","Sun Jul 07 16:49:53 IST 2024","Sun Jul 07 16:49:57 IST 2024","3516","","Sauce Lab Application: As a user, I can't log into the Application with invalid creditials","","","","When I login with invalid username and password",""
"passed","Sun Jul 07 16:49:57 IST 2024","Sun Jul 07 16:49:57 IST 2024","750","","Sauce Lab Application: As a user, I can't log into the Application with invalid creditials","","","","Then I should get error message for invalid creditials",""
"passed","Sun Jul 07 16:49:58 IST 2024","Sun Jul 07 16:50:02 IST 2024","4485","","Sauce Lab Application: As a user, I can't log into the Application with locked creditials","","","","When I login with locked username and password",""
