"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 07 16:51:21 IST 2024","Sun Jul 07 16:51:25 IST 2024","3891","","Sauce Lab Application: As a user, I can log into the Application with valid username and without password","","","","When I login with valid username and without password",""
"passed","Sun Jul 07 16:51:13 IST 2024","Sun Jul 07 16:51:14 IST 2024","1124","","Sauce Lab Application: As a user, I can't log into the Application with invalid creditials","","","","Then I should get error message for invalid creditials",""
"passed","Sun Jul 07 16:51:20 IST 2024","Sun Jul 07 16:51:21 IST 2024","855","","Sauce Lab Application: As a user, I can log into the Application with valid username and without password","","","","Given I am on the login page",""
"passed","Sun Jul 07 16:51:09 IST 2024","Sun Jul 07 16:51:13 IST 2024","3453","","Sauce Lab Application: As a user, I can't log into the Application with invalid creditials","","","","When I login with invalid username and password",""
"failed","Sun Jul 07 16:51:31 IST 2024","Sun Jul 07 16:51:31 IST 2024","0","","","","","","hook:",""
"passed","Sun Jul 07 16:51:31 IST 2024","Sun Jul 07 16:51:31 IST 2024","790","","Sauce Lab Application: As a user, I can log into the Application with valid creditials","","","","Given I am on the login page",""
"failed","Sun Jul 07 16:51:20 IST 2024","Sun Jul 07 16:51:20 IST 2024","1","","","","","","hook:",""
"passed","Sun Jul 07 16:51:35 IST 2024","Sun Jul 07 16:51:37 IST 2024","1501","","Sauce Lab Application: As a user, I can log into the Application with valid creditials","","","","Then I should redirect to products page",""
"passed","Sun Jul 07 16:51:26 IST 2024","Sun Jul 07 16:51:26 IST 2024","821","","Sauce Lab Application: As a user, I can log into the Application without creditials","","","","Given I am on the login page",""
"failed","Sun Jul 07 16:51:26 IST 2024","Sun Jul 07 16:51:26 IST 2024","1","","","","","","hook:",""
"failed","Sun Jul 07 16:51:37 IST 2024","Sun Jul 07 16:51:37 IST 2024","0","","","","","","hook:",""
"passed","Sun Jul 07 16:51:29 IST 2024","Sun Jul 07 16:51:31 IST 2024","1095","","Sauce Lab Application: As a user, I can log into the Application without creditials","","","","Then I should get error message for no username",""
"passed","Sun Jul 07 16:51:26 IST 2024","Sun Jul 07 16:51:29 IST 2024","3014","","Sauce Lab Application: As a user, I can log into the Application without creditials","","","","When I login without username and password",""
"passed","Sun Jul 07 16:51:31 IST 2024","Sun Jul 07 16:51:35 IST 2024","4102","","Sauce Lab Application: As a user, I can log into the Application with valid creditials","","","","When I login with valid username and password",""
"passed","Sun Jul 07 16:51:15 IST 2024","Sun Jul 07 16:51:19 IST 2024","4077","","Sauce Lab Application: As a user, I can't log into the Application with locked creditials","","","","When I login with locked username and password",""
"passed","Sun Jul 07 16:51:25 IST 2024","Sun Jul 07 16:51:26 IST 2024","1110","","Sauce Lab Application: As a user, I can log into the Application with valid username and without password","","","","Then I should get error message for no password",""
"passed","Sun Jul 07 16:51:14 IST 2024","Sun Jul 07 16:51:15 IST 2024","824","","Sauce Lab Application: As a user, I can't log into the Application with locked creditials","","","","Given I am on the login page",""
"failed","Sun Jul 07 16:51:14 IST 2024","Sun Jul 07 16:51:14 IST 2024","0","","","","","","hook:",""
"passed","Sun Jul 07 16:51:19 IST 2024","Sun Jul 07 16:51:20 IST 2024","1035","","Sauce Lab Application: As a user, I can't log into the Application with locked creditials","","","","Then I should get error message for locked creditials",""
"passed","Sun Jul 07 16:51:09 IST 2024","Sun Jul 07 16:51:09 IST 2024","658","","Sauce Lab Application: As a user, I can't log into the Application with invalid creditials","","","","Given I am on the login page",""
